dataset,strong_branching_limit,num_features,hl1,hl2,hl3,hl4,epochs,num_branch_callbacks,runtime
app1-2.mps.gz,720,7,10,20,20,10,20,1510,124552.228953

solution status,objective value
MIP_optimal,-41.0

branch iter,predicted var
720,26584
721,25071
722,25072
723,25076
724,25087
725,25117
726,16574
727,25118
728,25094
729,23816
730,23776
731,23784
732,26614
733,25071
734,25072
735,25076
736,25087
737,25117
738,25118
739,23816
740,23785
741,23794
742,23796
743,23798
744,23801
745,26680
746,22204
747,26173
748,18878
749,16572
750,16574
751,18914
752,21778
753,21776
754,21789
755,21793
756,21787
757,21972
758,21975
759,16579
760,21983
761,22204
762,21983
763,26178
764,21991
765,21997
766,22010
767,22013
768,22015
769,22000
770,20605
771,20598
772,16571
773,16579
774,19872
775,22211
776,14990
777,16580
778,16579
779,16581
780,16585
781,10098
782,25072
783,25086
784,13695
785,26614
786,12005
787,23809
788,21972
789,21975
790,21997
791,16579
792,22000
793,14998
794,15015
795,26210
796,15018
797,9312
798,9313
799,9314
800,9318
801,9316
802,266
803,11977
804,14978
805,14217
806,4791
807,266
808,10098
809,4774
810,5610
811,20089
812,8507
813,25015
814,266
815,266
816,21972
817,21975
818,21983
819,21991
820,21997
821,22010
822,22013
823,22015
824,22000
825,21778
826,21776
827,21789
828,21793
829,14990
830,14998
831,15015
832,15018
833,14978
834,18914
835,4774
836,22204
837,25072
838,25076
839,14174
840,14193
841,14197
842,14209
843,14204
844,19412
845,8102
846,12573
847,4502
848,24275
849,24278
850,24284
851,24315
852,24281
853,11693
854,25087
855,25118
856,4102
857,4072
858,4077
859,4096
860,266
861,4774
862,22204
863,25072
864,25076
865,19412
866,20079
867,20087
868,20088
869,20097
870,20098
871,20104
872,20107
873,20112
874,20113
875,15682
876,15684
877,24978
878,24982
879,24993
880,25004
881,25006
882,25008
883,25014
884,25019
885,25010
886,10098
887,26210
888,23816
889,26584
890,16598
891,16571
892,266
893,16571
894,26606
895,16571
896,266
897,16571
898,23816
899,266
900,266
901,16571
902,15692
903,15698
904,15699
905,15708
906,15710
907,15713
908,15718
909,15673
910,25118
911,266
912,20089
913,24272
914,18719
915,3498
916,3476
917,18679
918,15673
919,18700
920,3492
921,3517
922,4102
923,4096
924,4084
925,15673
926,16589
927,266
928,20089
929,13496
930,148
931,9279
932,10098
933,9296
934,2387
935,4774
936,4774
937,4881
938,5610
939,9279
940,25015
941,113
942,8102
943,2387
944,79
945,11977
946,20914
947,20913
948,11374
949,4774
950,11081
951,9286
952,9295
953,9300
954,9301
955,9304
956,9305
